CNPJ;UF;Ente Federativo;Regime
14215818000136;BA;Coronel João Sá;RGPS
14221741000107;BA;Correntina;RPPS
13654892000196;BA;Cotegipe;RGPS
13763396000170;BA;Cravolândia;RGPS
13646922000112;BA;Crisópolis;RGPS
13655089000176;BA;Cristópolis;RGPS
14006977000120;BA;Cruz das Almas;RGPS
13915640000173;BA;Curaçá;RGPS
13700174000109;BA;Dário Meira;RGPS
13394044000195;BA;Dias d'Ávila;RGPS
13673314000105;BA;Dom Basílio;RGPS
13827019000158;BA;Dom Macedo Costa;RGPS
13693379000104;BA;Elísio Medrado;RGPS
13907373000192;BA;Encruzilhada;RGPS
14126981000122;BA;Entre Rios;RGPS
13670203000137;BA;Érico Cardoso;RGPS
13885231000171;BA;Esplanada;RGPS
13698774000180;BA;Euclides da Cunha;RGPS
16233439000102;BA;Eunápolis;RGPS
13393152000143;BA;Fátima;RGPS
16416125000137;BA;Feira da Mata;RGPS
14043574000151;BA;Feira de Santana;RPPS
13232996000102;BA;Filadélfia;RPPS
13752415000163;BA;Firmino Alves;RGPS
14147904000159;BA;Floresta Azul;RGPS
13654454000128;BA;Formosa do Rio Preto;RGPS
14195358000121;BA;Gandu;RGPS
13233036000167;BA;Gavião;RGPS
13879390000163;BA;Gentio do Ouro;RGPS
14217335000170;BA;Glória;RGPS
14235048000193;BA;Gongogi;RGPS
13828496000138;BA;Governador Mangabeira;RGPS
13937032000160;BA;Governo do Estado da Bahia;RPPS
13284658000114;BA;Guajeru;RGPS
13982640000196;BA;Guanambi;RGPS
13634985000159;BA;Guaratinga;RGPS
13393178000191;BA;Heliópolis;RGPS
13889993000146;BA;Iaçu;RGPS
13676986000166;BA;Ibiassucê;RGPS
14147896000140;BA;Ibicaraí;RGPS
13922588000182;BA;Ibicoara;RPPS
13857701000193;BA;Ibicuí;RGPS
13714803000150;BA;Ibipeba;RGPS
13781364000106;BA;Ibipitanga;RGPS
13718671000134;BA;Ibiquera;RGPS
13846753000164;BA;Ibirapitanga;RGPS
14210389000104;BA;Ibirapuã;RGPS
14131569000109;BA;Ibirataia;RGPS
13781828000176;BA;Ibitiara;RGPS
13715057000119;BA;Ibititá;RGPS
13798152000123;BA;Ibotirama;RGPS
13906151000155;BA;Ichu;RGPS
13811484000109;BA;Igaporã;RGPS
13071204000165;BA;Igrapiúna;RGPS
13858303000191;BA;Iguaí;RGPS
13672597000162;BA;Ilhéus;RGPS
13647185000172;BA;Inhambupe;RGPS
13621735000184;BA;Ipecaetá;RPPS
13701651000150;BA;Ipiaú;RGPS
14042659000115;BA;Ipirá;RGPS
13798384000181;BA;Ipupiara;RGPS
13763479000160;BA;Irajuba;RPPS
13894902000160;BA;Iramaia;RGPS
13922596000129;BA;Iraquara;RGPS
13626205000129;BA;Irará;RGPS
13715891000104;BA;Irecê;RGPS
16234429000183;BA;Itabela;RPPS
13719646000175;BA;Itaberaba;RPPS
14147490000168;BA;Itabuna;RGPS
13846902000195;BA;Itacaré;RGPS
13922620000120;BA;Itaeté;RGPS
14200406000122;BA;Itagi;RGPS
13701966000106;BA;Itagibá;RGPS
13634969000166;BA;Itagimirim;RGPS
16445843000131;BA;Itaguaçu da Bahia;RGPS
14147920000141;BA;Itaju do Colônia;RGPS
14147946000190;BA;Itajuípe;RGPS
13761697000165;BA;Itamaraju;RGPS
13753959000140;BA;Itamari;RGPS
13743760000130;BA;Itambé;RGPS
14757157000170;BA;Itanagra;RGPS
14210512000197;BA;Itanhém;RGPS
13882949000104;BA;Itaparica;RGPS
14147938000143;BA;Itapé;RGPS
13634993000103;BA;Itapebi;RGPS
13751102000190;BA;Itapetinga;RGPS
13647557000160;BA;Itapicuru;RGPS
14147482000111;BA;Itapitanga;RGPS
13763735000119;BA;Itaquara;RGPS
13751276000153;BA;Itarantim;RGPS
13866843000117;BA;Itatim;RGPS
14198543000170;BA;Itiruçu;RGPS
13988324000121;BA;Itiúba;RGPS
13752993000108;BA;Itororó;RGPS
14106280000121;BA;Ituaçu;RGPS
14195333000128;BA;Ituberá;RGPS
16416158000187;BA;Iuiú;RGPS
13245568000114;BA;Jaborandi;RGPS
13677109000100;BA;Jacaraci;RGPS
14197586000130;BA;Jacobina;RPPS
13910211000103;BA;Jaguaquara;RGPS
13988316000185;BA;Jaguarari;RGPS
13796289000149;BA;Jaguaripe;RGPS
13697206000164;BA;Jandaíra;RGPS
13894878000160;BA;Jequié;RPPS
13809041000175;BA;Jeremoabo;RGPS
13764659000166;BA;Jiquiriçá;RGPS
14205686000161;BA;Jitaúna;RGPS
13891510000148;BA;João Dourado;RGPS
13915632000127;BA;Juazeiro;RPPS
16412025000132;BA;Jucuruçu;RGPS
13717277000181;BA;Jussara;RGPS
13657937000186;BA;Jussari;RGPS
13674148000153;BA;Jussiape;RGPS
14205959000178;BA;Lafaiete Coutinho;RGPS
16416117000190;BA;Lagoa Real;RGPS
13825492000104;BA;Laje;RGPS
13785670000102;BA;Lajedão;RGPS
13810544000160;BA;Lajedinho;RGPS
16434441000131;BA;Lajedo do Tabocal;RGPS
13844071000112;BA;Lamarão;RGPS
13891528000140;BA;Lapão;RGPS
13927819000140;BA;Lauro de Freitas;RGPS
14694400000159;BA;Lençóis;RGPS
14108286000138;BA;Licínio de Almeida;RGPS
13674817000197;BA;Livramento de Nossa Senhora;RGPS
04214419000105;BA;Luís Eduardo Magalhães;RGPS
13810841000106;BA;Macajuba;RGPS
13751540000159;BA;Macarani;RGPS
13782461000105;BA;Macaúbas;RGPS
14217343000117;BA;Macururé;RGPS
33919960000109;BA;Madre de Deus;RGPS
13284641000167;BA;Maetinga;RGPS
13751821000101;BA;Maiquinique;RGPS
14212872000128;BA;Mairi;RGPS
14105217000170;BA;Malhada;RGPS
14106561000184;BA;Malhada de Pedras;RGPS
13894886000106;BA;Manoel Vitorino;RGPS
13348529000142;BA;Mansidão;RGPS
13910203000167;BA;Maracás;RGPS
13784384000122;BA;Maragogipe;RGPS
13848973000127;BA;Maraú;RGPS
13765219000123;BA;Marcionílio Souza;RPPS
13818018000147;BA;Mascote;RGPS
13805528000180;BA;Mata de São João;RGPS
16417800000142;BA;Matina;RGPS
13786520000113;BA;Medeiros Neto;RGPS
13913363000160;BA;Miguel Calmon;RGPS
13720263000117;BA;Milagres;RGPS
13913371000106;BA;Mirangaba;RPPS em Extinção
16416521000164;BA;Mirante;RGPS
13698766000133;BA;Monte Santo;RGPS
13798574000107;BA;Morpará;RGPS
13717517000148;BA;Morro do Chapéu;RPPS
13677687000146;BA;Mortugaba;RGPS
13922562000134;BA;Mucugê;RGPS
13761705000173;BA;Mucuri;RGPS
16445876000181;BA;Mulungu do Morro;RGPS
13795380000140;BA;Mundo Novo;RGPS
13796461000164;BA;Muniz Ferreira;RGPS
16440778000151;BA;Muquém de São Francisco;RGPS
13828504000146;BA;Muritiba;RGPS
13827035000140;BA;Mutuípe;RGPS
13797188000192;BA;Nazaré;RGPS
13758313000155;BA;Nilo Peçanha;RGPS
13347539000163;BA;Nordestina;RGPS
13858675000118;BA;Nova Canaã;RGPS
16444069000144;BA;Nova Fátima;RGPS
32697583000148;BA;Nova Ibiá;RGPS
13892187000127;BA;Nova Itarana;RPPS em Extinção
16245334000165;BA;Nova Redenção;RGPS
13904420000144;BA;Nova Soure;RGPS
13761531000149;BA;Nova Viçosa;RGPS
16255077000142;BA;Novo Horizonte;RGPS
16298945000171;BA;Novo Triunfo;RGPS
13647854000106;BA;Olindina;RGPS
13798905000109;BA;Oliveira dos Brejinhos;RGPS
13648043000120;BA;Ouriçangas;RGPS
16444150000124;BA;Ourolândia;RPPS
13982590000147;BA;Palmas de Monte Alto;RGPS
13922638000121;BA;Palmeiras;RGPS
13675491000112;BA;Paramirim;RGPS
14105225000117;BA;Paratinga;RGPS
